"Part name","Qty required(not ordered due to MOQs)","Source","Price","Actual Price with taxes & shipping","Links"
"PCB board fabrication","1 used 5 MOQ","Lion Circuits or ~~Robu.in~~","~~robu(₹3556/$37.7)~~, Lion ₹2983 $31.74","~~robu(same)~~,Lion ₹2983 $31.74","Cannot link to quote"
"2.54mm male Pin headers","5 pins(2+3)","Local shop","Already own","Already own",""
"Power Switch Latching","1","LCSC","$0.84","$0.84","[link](https://www.lcsc.com/product-detail/C22386787.html?spm=wm.gwc.xh.7.cbm___wm.sxq.ssl.gwc&lcsc_vid=RAIIXwdQElVfUAVfEgNfVlFWEVQIXwcAR1RbVVFeTlIxVlNRQ1hYXlxWRVBfVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D)"
"USB C Port Connector","1","LCSC","$1.06","$1.06","[link](https://www.lcsc.com/product-detail/C20624793.html?spm=wm.gwc.xh.8.cbm___wm.sxq.ssl.gwc&lcsc_vid=RAIIXwdQElVfUAVfEgNfVlFWEVQIXwcAR1RbVVFeTlIxVlNRQ1hYXlxWRVBfVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D)"
"Tactile Button","3","LCSC","$0.06","$0.06","[link](https://www.lcsc.com/product-detail/C7528723.html?spm=wm.gwc.xh.6.cbm___wm.sxq.ssl.gwc&lcsc_vid=RAIIXwdQElVfUAVfEgNfVlFWEVQIXwcAR1RbVVFeTlIxVlNRQ1hYXlxWRVBfVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D)"
"OptoTransmitter HFBR-1521Z","1","LCSC","$7.65","$7.65","[link](https://www.lcsc.com/product-detail/C188712.html?spm=wm.gwc.xh.9.cbm___wm.sxq.ssl.gwc&lcsc_vid=RAIIXwdQElVfUAVfEgNfVlFWEVQIXwcAR1RbVVFeTlIxVlNRQ1hYXlxWRVBfVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D)"
"AMS1117-3.3 regulator","1","LCSC","$1.13","$1.13","[link](https://www.lcsc.com/product-detail/C6186.html?spm=wm.gwc.xh.10.cbm___wm.sxq.ssl.gwc&lcsc_vid=RAIIXwdQElVfUAVfEgNfVlFWEVQIXwcAR1RbVVFeTlIxVlNRQ1hYXlxWRVBfVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D)"
"AMS1117-5.0 regulator","1","LCSC","$1.19","$1.19","[link](https://www.lcsc.com/product-detail/C6187.html?spm=wm.gwc.xh.11.cbm___wm.sxq.ssl.gwc&lcsc_vid=RAIIXwdQElVfUAVfEgNfVlFWEVQIXwcAR1RbVVFeTlIxVlNRQ1hYXlxWRVBfVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D)"
"ESP32S3 Wroom 1 N8","1","LCSC","$5.42","$5.42","[link](https://www.lcsc.com/product-detail/C2913198.html?spm=wm.gwc.xh.12.cbm___wm.sxq.ssl.gwc&lcsc_vid=RAIIXwdQElVfUAVfEgNfVlFWEVQIXwcAR1RbVVFeTlIxVlNRQ1hYXlxWRVBfVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D)"
"10uF 25V Aluminum Electrolytic Cap","1","LCSC","$0.49","$0.49","[link](https://www.lcsc.com/product-detail/C43846.html?spm=wm.gwc.xh.13.cbm___wm.sxq.ssl.gwc&lcsc_vid=RAIIXwdQElVfUAVfEgNfVlFWEVQIXwcAR1RbVVFeTlIxVlNRQ1hYXlxWRVBfVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D)"
"100nF 25V 0805 Ceramic cap","8","LCSC","$0.18","$0.18","[link](https://www.lcsc.com/product-detail/C53084462.html?spm=wm.gwc.dh.14.cbm___wm.sxq.ssl.gwc&lcsc_vid=RAIIXwdQElVfUAVfEgNfVlFWEVQIXwcAR1RbVVFeTlIxVlNRQ1hYXlxWRVBfVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D)"
"470Ω 150V Thin Film Resistor","1","LCSC","$0.70","$0.70","[link](https://www.lcsc.com/product-detail/C479100.html?spm=wm.gwc.xh.4.cbm___wm.sxq.ssl.gwc&lcsc_vid=RAIIXwdQElVfUAVfEgNfVlFWEVQIXwcAR1RbVVFeTlIxVlNRQ1hYXlxWRVBfVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D)"
"220Ω 0805 Res","1","LCSC","$1.70","$1.70","[link](https://www.lcsc.com/product-detail/C186237.html?spm=wm.gwc.xh.3.cbm___wm.sxq.ssl.gwc&lcsc_vid=RAIIXwdQElVfUAVfEgNfVlFWEVQIXwcAR1RbVVFeTlIxVlNRQ1hYXlxWRVBfVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D)"
"180Ω 0805 Res","1","LCSC","$0.49","$0.49","[link](https://www.lcsc.com/product-detail/C313842.html?spm=wm.gwc.xh.2.cbm___wm.sxq.ssl.gwc&lcsc_vid=RAIIXwdQElVfUAVfEgNfVlFWEVQIXwcAR1RbVVFeTlIxVlNRQ1hYXlxWRVBfVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D)"
"33ohm 0805 Res","1","LCSC","$0.41","$0.41","[link](https://www.lcsc.com/product-detail/C557530.html?spm=wm.gwc.xh.5.cbm___wm.sxq.ssl.gwc&lcsc_vid=RAIIXwdQElVfUAVfEgNfVlFWEVQIXwcAR1RbVVFeTlIxVlNRQ1hYXlxWRVBfVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D)"
"Rotary encoder EC11E18244A5","1","LCSC","$2.05","$2.05","[link](https://www.lcsc.com/product-detail/C255515.html?spm=wm.gwc.xh.1.cbm___wm.sxq.ssl.gwc&lcsc_vid=RAIIXwdQElVfUAVfEgNfVlFWEVQIXwcAR1RbVVFeTlIxVlNRQ1hYXlxWRVBfVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D)"
"Micro SD TF card port","1","LCSC","$0.73","$0.73","[link](https://www.lcsc.com/product-detail/C111196.html?spm=wm.gwc.xh.0.cbm___wm.sxq.ssl.gwc&lcsc_vid=RAIIXwdQElVfUAVfEgNfVlFWEVQIXwcAR1RbVVFeTlIxVlNRQ1hYXlxWRVBfVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D)"
"10K Resistor array 1206","1","robu.in","₹ 2.28 $0.0243","₹ 2.28 $0.0243","[link](https://robu.in/product/cay16-1002f4lf-bourns-4-%c2%b11-10k%cf%89-62-5mw-%c2%b1200ppm-%e2%84%83-1206-resistor-networks-arrays-rohs/)"
"0805 LED Green","1","robu.in","₹ 2.62 $0.0279","₹ 2.62 $0.0279","[link](https://robu.in/product/0805-surface-mount-led-green-50-pcs/)"
"0805 LED Red","2","robu.in","₹2.36 $0.0252","₹2.36 $0.0252","[link](https://robu.in/product/0805-surface-mount-led-red-50-pcs/)"
"DSS34 diode","2","robu.in","₹ 9.58 $0.1021","₹ 9.58 $0.1021","[link](https://robu.in/product/dss34-slkor-sod-123fl-schottky-diodes-rohs/)"
"1N4148W 1206 Diode","2","robu.in","₹ 1.70 $0.0181","₹ 1.70 $0.181","[link](https://robu.in/product/1n4148w-sod-123-1206-diodereel-of-3000/)"
"SS8050S-FOSAN-SOT-23 Bipolar (BJT)","1","robu.in","₹1.82 $0.0194","₹1.82 $0.0194","[link](https://robu.in/product/ss8050s-fosan-sot-23-bipolar-bjt-rohs/)"
"510kΩ 0805 res","1","robu.in","₹0.21 $0.0022","","[link](https://robu.in/product/0805w8j0514t5e-uniohm-royal-ohm-125mw-thick-film-resistors-150v-%c2%b1100ppm-%e2%84%83-%c2%b15-510k%cf%89-0805-chip-resistor-surface-mount-rohs/)"
"5.1kΩ 0805 res","2","robu.in","₹ 1.96 $0.0209","₹ 1.96 $0.0209","[link](https://robu.in/product/ac0805fr-075k1l-yageo-res-thick-film-0805-5-1k-ohm-1-0-125w1-8w-%c2%b1100ppm-c-pad-smd-t-r-automotive-aec-q200/)"
"2.2Kohm 0805 res","1","robu.in","₹ 0.42 $0.0045","₹ 0.42 $0.0045","[link](https://robu.in/product/ac0805jr-072k2l-yageo-res-thick-film-0805-2-2k-ohm-5-0-125w1-8w-%c2%b1100ppm-c-pad-smd-t-r-automotive-aec-q200/)"
